ENTITY_BKEY,ENTITY_NAME,ENTITY_COUNTRY,LEGAL_FORM,ENTITY_STATUS,REGISTRATION_AUTHORITY,ENTITY_CURRENCY,TRN,TIN,TAX_RESIDENCE,TIN_REGISTRATION_DATE,TIN_2,TAX_RESIDENCE_2,TIN_REGISTRATION_DATE_2,TIN_3,TAX_RESIDENCE_3,TIN_REGISTRATION_DATE_3,SERVICE_OFFICE,SCOPE_ADMIN_SERVICES,FORMATION_DATE,VAT_GST_CODE,VAT_GST_COUNTRY,VAT_GST_CODE_2,VAT_GST_COUNTRY_2,VAT_GST_CODE_3,VAT_GST_COUNTRY_3,ACCOUNTING_SYSTEM,_MODIFIED
10058299,"Horizon Co-investment, L.P.2",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,120603,,,,,,,,,,VISTRA,Fund Administration,17/10/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11876785,"BPEA EQT Mid-Market Growth Partnership, SCSp",LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B272193,20225817716,LU,17/10/2022,,,,,,,VISTRA,Fund Administration,17/10/2022,LU35628417,LU,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11876786,"BPEA EQT Mid-Market Growth Collect, SCSp",LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B272194,20225817724,LU,17/10/2022,,,,,,,VISTRA,Fund Administration,17/10/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10058702,BPEA EQT MID-MARKET GROWTH PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202237296N,202237296N,SG,20/10/2022,,,,,,,VISTRA,Fund Administration,20/10/2022,202237296N,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11876787,BPEA EQT MMGF S.à r.l. SICAF-RAIF,LU,Société à responsabilité limitée,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B272650,20222476071,LU,28/10/2022,,,,,,,VISTRA,Fund Administration,28/10/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
HORTUL,Hortulan HK Limited,HK,Limited Liability Company,Active,Companies Registry,HKD,74572037,74572037,HK,04/11/2022,,,,,,,VISTRA,Co-Sec,04/11/2022,,,,,,,,2025-05-06 00:13:51.000 Z
10058305,EVERNESS PARENT PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202239524Z,202239524Z,SG,07/11/2022,,,,,,,VISTRA,Fund Administration,07/11/2022,202239524Z,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10058304,EVERNESS PTE. LIMITED,SG,Private Limited Company,Active,Accounting and Corporate Regulatory Authority (‘ACRA’),USD,202239528D,202239528D,SG,07/11/2022,,,,,,,VISTRA,Fund Administration,07/11/2022,202239528D,SG,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11919376,BPEA Fund VIII Co-investment L.P.2,KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,120881,,,,,,,,,,VISTRA,Fund Administration,09/11/2022,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11876819,"BPEA EQT Mid-Market Growth Co-Invest Partnership, SCSp",LU,Société en commandite spéciale,Active,"Trade and Company Register (Registre de Commerce et des Sociétés, Luxembourg)",USD,B272648,20225818755,LU,11/11/2022,,,,,,,VISTRA,Fund Administration,11/11/2022,LU35628619,LU,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
